Representative_Sequence	total	10t0	10t2	11t0	11t2	12t0	12t1	12t2	13t0	13t1	13t2	15t0	15t1	15t2	17t0	17t2	1t0	1t1	1t2	201t0	201t1	201t2	202t0	202t1	202t2	206t0	206t1	206t2	207t0	207t1	207t2	209t0	209t2	20t0	20t1	210t1	210t2	211t0	211t2	212t0	212t1	212t2	215t0	215t2	216t0	216t2	218t0	218t2	219t0	219t1	219t2	21t0	21t1	21t2	220t0	220t1	220t2	222t0	222t2	224t0	225t0	225t2	226t0	226t2	227t0	227t2	228t0	228t2	229t0	229t1	229t2	230t0	230t2	234t0	234t2	235t0	235t1	235t2	236t0	236t2	237t0	237t2	238t0	238t1	238t2	23t0	23t2	240t0	240t2	243t0	243t1	243t2	244t0	244t2	245t0	245t2	246t0	246t2	247t0	247t2	249t0	249t1	249t2	24t0	24t1	24t2	250t0	250t1	250t2	25t0	25t1	25t2	260t0	260t2	261t0	261t2	263t0	263t2	265t0	265t2	266t0	266t1	266t2	267t0	267t1	267t2	269t0	269t1	269t2	26t0	26t1	26t2	270t0	270t2	275t0	275t2	278t0	278t2	279t2	280t0	280t2	28t0	28t2	29t0	29t1	29t2	2t0	2t2	30t0	30t2	31t0	31t2	33t0	33t1	33t2	35t0	35t1	36t0	36t1	36t2	39t2	3t0	3t2	43t0	43t1	43t2	45t0	45t1	45t2	46t0	46t1	46t2	47t0	47t1	47t2	49t0	49t1	49t2	4t0	4t2	52t0	52t2	54t0	54t2	55t0	55t1	55t2	58t0	58t2	5t0	5t2	61t0	61t2	65t0	65t2	66t0	66t2	67t0	67t2	70t0	70t2	72t0	72t1	72t2	7t0	7t2	80t0	80t1	80t2	81t0	81t1	81t2	83t0	83t1	83t2	91t0	91t2	9t0	9t1	9t2
M06339_41_000000000-D6T5N_1_1101_9534_20569	9937	2	0	41	4	12	2	1	12	0	2	0	0	0	0	0	9	0	1	5	0	0	34	2	0	184	20	2	3	1	0	1	0	0	0	220	10	6	2	159	415	7	0	1	14	4	37	1	0	0	0	0	1	0	561	115	34	3226	31	9	1	0	88	4	74	0	13	4	227	85	99	43	11	32	12	53	12	22	3	1	2	3	1	2	1	5	0	216	60	2	0	0	0	0	0	0	0	1	0	0	39	11	5	3	1	2	2	1	0	0	0	0	4	0	5	0	0	0	0	0	0	0	1	1	1	0	1	2	0	0	0	1	325	0	2	0	0	0	0	0	0	0	0	0	3	0	21	0	0	0	0	0	93	89	8	2	0	3	0	0	2	66	1	2	0	0	2	0	0	0	1	2	6	0	1	9	3	0	4	2	1	0	7	28	1	1	0	7	0	0	2	0	0	0	0	0	0	0	0	1	0	6	2	1	15	2	3	0	0	5	2	0	0	0	2	0	0	791	1867	198
M06339_41_000000000-D6T5N_1_1102_6020_9554	742	1	187	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	63	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	2	0	18	0	0	2	0	0	0	0	0	0	33	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11	0	0	0	43	0	14	0	66	0	0	0	0	0	57	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	2	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	2	0	2	0	1	0	119	2	8
M06339_41_000000000-D6T5N_1_1102_16816_21084	5143	195	3	8	68	19	4	4	59	18	1	0	0	0	7	45	53	11	2	14	7	36	182	93	1	57	11	2	12	3	4	77	9	0	0	10	1	27	5	117	46	15	8	1	1	0	13	3	5	0	0	123	30	1	12	3	2	2	1	0	10	0	22	1	7	1	24	5	41	16	26	0	1	45	8	8	11	2	54	2	43	13	22	62	5	48	0	6	8	76	5	4	40	0	26	19	71	15	86	6	127	26	1	98	7	15	108	93	5	14	24	12	33	3	89	3	0	1	11	9	9	1	5	22	55	1	38	9	10	20	21	6	43	2	122	2	0	5	14	0	0	0	3	4	69	17	15	22	6	2	12	1	12	14	17	33	25	52	18	8	13	1	2	60	115	6	28	7	8	18	8	3	30	18	13	70	9	4	5	1	18	10	27	17	224	81	10	26	3	79	8	40	11	15	0	0	1	0	0	0	0	14	11	4	338	8	19	4	1	13	4	0	4	32	2	0	0	10	22	4
M06339_41_000000000-D6T5N_1_1101_5971_10458	707	5	0	0	5	5	0	0	0	0	0	0	0	0	0	17	8	16	1	1	0	2	0	4	0	6	0	0	2	0	0	0	0	0	0	0	0	4	0	10	9	0	0	0	0	0	1	0	0	0	0	9	14	0	0	0	0	0	0	0	0	0	7	0	26	1	0	0	28	22	5	2	0	11	0	6	0	0	35	2	7	1	5	25	0	10	1	1	3	8	1	0	3	0	2	0	25	2	7	0	39	2	0	12	2	0	29	5	0	0	0	0	2	0	19	0	2	1	3	1	10	0	3	6	6	0	7	0	1	0	7	0	31	0	4	1	0	5	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	6	3	10	0	0	1	0	0	0	4	2	5	3	3	3	0	2	15	1	1	3	0	0	0	0	3	0	7	0	6	2	0	3	1	5	0	4	0	7	0	1	0	0	0	0	3	5	0	0	8	3	2	1	0	0	8	0	0	3	1	0	1	0	0	0
M06339_41_000000000-D6T5N_1_1102_8216_11002	798	27	0	2	0	3	0	11	5	0	0	0	0	0	0	0	8	0	0	0	0	2	7	1	0	10	5	1	0	0	0	6	0	0	0	0	0	0	0	54	78	0	1	0	3	0	3	0	0	0	0	0	1	0	47	22	2	0	0	0	0	0	12	0	0	0	0	1	14	14	8	1	0	10	0	0	18	15	1	0	0	2	52	41	10	1	0	42	9	5	0	0	0	0	1	0	0	4	0	0	4	5	0	2	3	0	0	0	0	1	1	2	1	0	14	6	0	0	0	0	2	1	3	0	1	0	0	0	0	0	0	2	6	0	26	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	5	20	5	2	1	3	0	0	1	0	0	0	0	5	0	0	6	0	1	0	0	0	0	0	1	0	1	3	12	5	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	46	0	5	0	0	7	1	0	0	0	0	0	0	1	5	1
M06339_41_000000000-D6T5N_1_1101_19554_26582	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1101_4956_15116	3028	58	0	7	18	0	0	57	3	0	0	0	0	0	2	44	31	20	16	20	8	19	0	6	1	2	37	1	9	0	2	29	38	0	0	5	10	11	7	18	13	1	0	6	0	1	3	34	9	0	0	3	4	23	0	0	0	0	1	3	7	4	1	4	9	51	7	5	21	9	23	28	11	77	18	4	4	28	0	2	5	92	0	20	11	0	29	22	173	0	9	1	6	23	0	0	1	5	6	21	91	21	1	13	0	102	108	8	4	1	0	1	2	4	4	16	0	2	2	1	3	16	99	4	5	0	8	4	3	1	1	15	5	4	5	0	0	44	26	4	26	2	55	0	1	17	1	92	5	1	0	0	9	0	1	2	1	7	1	4	7	2	22	0	4	2	4	0	42	30	0	1	6	2	20	11	3	25	0	3	0	3	3	17	0	6	30	3	1	5	4	9	1	1	0	0	0	0	1	0	2	1	2	1	29	73	0	0	2	4	0	0	0	2	2	16	441	6	1	8
M06339_41_000000000-D6T5N_1_1101_4387_18111	9460	26	2	71	4	20	51	19	4	58	1	0	0	0	11	1	10	127	3	44	20	10	7	46	1	3	4	2	16	11	0	1	17	0	0	187	11	276	12	47	131	19	34	23	7	8	25	5	13	0	0	10	67	0	230	94	56	33	2	1	5	10	3	8	15	5	86	212	16	12	5	11	3	17	37	0	0	1	8	5	4	0	1	34	9	10	1	5	98	158	481	17	100	7	15	3	18	5	14	19	55	306	6	61	296	23	83	4	138	2	13	4	170	19	20	15	18	15	73	15	47	136	98	0	6	20	10	53	7	8	4	64	20	20	243	30	0	5	36	0	232	0	59	19	25	2	302	0	10	4	3	4	5	12	9	6	35	18	161	140	0	18	8	171	43	16	3	15	2	34	51	0	2	12	11	0	24	4	2	2	9	7	21	25	66	76	66	96	5	3	1	12	3	0	9	1	1	1	6	0	3	243	154	18	2	1	198	505	49	42	22	9	155	150	13	6	146	176	212	2
M06339_41_000000000-D6T5N_1_1102_6900_7147	433245	1620	928	5521	1934	1489	4076	5099	970	3143	2016	1	1	0	915	1600	801	2162	2049	2697	7223	4272	2402	2097	347	1169	1738	1478	1635	4548	1367	872	1521	2	2	1653	1730	3901	3220	2436	3652	1598	1309	2022	593	3296	3530	1188	865	6	9	989	3948	3597	1690	1357	1104	2671	1287	935	9480	1315	2157	2346	667	1410	3362	5675	6069	8224	1474	1070	1162	1577	2049	228	437	1989	1372	881	1638	3121	624	6036	3447	1627	3019	627	1347	2033	2536	5699	1034	2513	586	1134	2471	2809	1921	1242	1133	2319	977	748	4036	474	2731	1435	1126	448	2424	2710	1426	1200	1096	2486	4141	2713	2297	1106	571	3582	2261	626	3091	1613	342	4400	2047	536	1196	3474	1183	3276	1219	3754	1279	1414	2701	1245	1762	6593	1458	1684	2306	779	3622	1480	1393	3490	307	2240	2218	1991	2234	387	1114	2203	2252	3563	2606	1893	1791	819	780	1788	1418	1176	593	483	1765	807	404	558	757	315	3184	2687	4876	855	1045	1308	1059	1963	523	1703	2252	1912	1454	1264	2234	965	628	792	390	1484	2012	7242	1115	2163	691	881	880	1459	943	1147	1358	1902	1616	1781	2525	842	3270	2541	529	1794	3472	2997	3365	1588
M06339_41_000000000-D6T5N_1_1102_8356_7893	236	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	36	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	59	58	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
