SampleID	PotNum	Timepoint	Position	Inoculum	CondLin	Clone	GEO	SeedLin	INHBTR	BAC	FUN	OOM	Treat	Rep	SeqRn
1t0	1	t0	27	Live	Native	CH11	SEM	Native	BAC	NO	YES	YES	5	4	One
1t1	1	t1	27	Live	Native	CH11	SEM	Native	BAC	NO	YES	YES	5	4	One
1t2	1	t2	27	Live	Native	CH11	SEM	Native	BAC	NO	YES	YES	5	4	One
2t0	2	t0	131	Live	Native	CH11	SEM	Native	OOM	YES	YES	NO	9	4	Two
2t2	2	t2	131	Live	Native	CH11	SEM	Native	OOM	YES	YES	NO	9	4	One
3t0	3	t0	187	Live	Native	CH11	SEM	Native	FUN	YES	NO	YES	1	4	One
3t2	3	t2	187	Live	Native	CH11	SEM	Native	FUN	YES	NO	YES	1	4	One
4t0	4	t0	210	Live	Native	CH11	SEM	Native	NONE	YES	YES	YES	25	4	One
4t2	4	t2	210	Live	Native	CH11	SEM	Native	NONE	YES	YES	YES	25	4	One
5t0	5	t0	317	Live	Native	CH11	SEM	Native	FUNBAC	NO	NO	YES	13	4	One
5t2	5	t2	317	Live	Native	CH11	SEM	Native	FUNBAC	NO	NO	YES	13	4	One
7t0	7	t0	55	Live	Native	CH11	SEM	Native	FUNOOM	YES	NO	NO	17	4	One
7t2	7	t2	55	Live	Native	CH11	SEM	Native	FUNOOM	YES	NO	NO	17	4	One
9t0	9	t0	37	Live	Native	CH11	SEM	NonNative	FUN	YES	NO	YES	2	4	One
9t1	9	t1	37	Live	Native	CH11	SEM	NonNative	FUN	YES	NO	YES	2	4	One
9t2	9	t2	37	Live	Native	CH11	SEM	NonNative	FUN	YES	NO	YES	2	4	One
10t0	10	t0	40	Live	Native	CH11	SEM	NonNative	BAC	NO	YES	YES	6	4	One
10t2	10	t2	40	Live	Native	CH11	SEM	NonNative	BAC	NO	YES	YES	6	4	One
11t0	11	t0	229	Live	Native	CH11	SEM	NonNative	BACOOM	NO	YES	NO	22	4	One
11t2	11	t2	229	Live	Native	CH11	SEM	NonNative	BACOOM	NO	YES	NO	22	4	One
12t0	12	t0	10	Live	Native	CH11	SEM	NonNative	OOM	YES	YES	NO	10	4	One
12t1	12	t1	10	Live	Native	CH11	SEM	NonNative	OOM	YES	YES	NO	10	4	One
12t2	12	t2	10	Live	Native	CH11	SEM	NonNative	OOM	YES	YES	NO	10	4	One
13t0	13	t0	34	Live	Native	CH11	SEM	NonNative	FUNBAC	NO	NO	YES	14	4	One
13t1	13	t1	34	Live	Native	CH11	SEM	NonNative	FUNBAC	NO	NO	YES	14	4	One
13t2	13	t2	34	Live	Native	CH11	SEM	NonNative	FUNBAC	NO	NO	YES	14	4	One
